ranking,tier,companyName,email,emailStatus,city,country,website
1,AA,Światła LED do jazdy dziennej żarówki halogenowe xenonowe hurt Polska,hurt@sklepowisko.com,public_found,Zabrze,Poland,https://sklepowisko.polfirms.pl
2,AA,"Żarówki na Allegro Lokalnie - LED, światła ledowe, halogenowe, energooszczędne i tradycyjne, tanie źródła światła - Zabr",,no_email,Zabrze,Poland,https://allegrolokalnie.pl
3,A,PolskiLED Oświetlenie | Taśmy Zasilacze Sterowniki Profile,sklep@polskiled.pl,public_found,Wrocław,Poland,https://polskiled.com.pl
4,A,Kontakt - majsterLED,sklep@majsterled.pl,public_found,Wrocław,Poland,https://majsterled.pl
5,A,Strona główna - ALED,handlowy@aled.pl,public_found,Zabrze,Poland,https://aled.pl
6,A,led.gliwice.pl,stein.metal@o2.pl,public_found,Gliwice,Poland,https://led.gliwice.pl
7,A,Światła dzienne LED montaż Gliwice • Umów wizytę online,beatazdulskaxs@wp.pl,public_found,Gliwice,Poland,https://dobrymechanik.pl
8,A,Polski producent oświetlenia LED - Globus Lighting Wrocław,gl@globuslighting.pl,public_found,Wrocław,Poland,https://globuslighting.pl
9,A,FH Progres Gliwice • Fh Progres - Oświetlenie Led w Gliwicach,mebleplustp@o2.pl,public_found,Gliwice,Poland,https://firmy.net
10,A,"Sklep z żarówkami LED, lampy, taśmy, żarówki, oprawki ...",biuro@superledpoland.pl,generic,Zabrze,Poland,https://superledpoland.pl
11,A,Oświetlenie LED | Polski Producent | Wrocław | Micoled®,info@micoled.pl,generic,Wrocław,Poland,https://micoled.pl
12,A,Lampa LED - Centrum Dermatologii Estetycznej - Bagłaj Wrocław,biuro@baglaj.com.pl,generic,Wrocław,Poland,https://baglaj.com.pl
13,A,"Reflektory LED, naświetlacze - wewnętrzne i zewnętrzne",biuro@showtime.wroclaw.pl,generic,Wrocław,Poland,https://swiatla.wroclaw.pl
14,A,"Hurtownia elektryczna Zabrze, sklep z oświetleniem LED i kablami - Sklep Online Ledovo",biuro@ledovo.pl,generic,Zabrze,Poland,https://ledovo.pl
15,A,LEDowo – Sklep z oświetleniem LED i akcesoriami elektrycznymi,biuro@ledowo.com.pl,generic,Zabrze,Poland,https://ledowo.com.pl
16,A,Progres Oświetlenie LED,info@fhprogres.pl,generic,Gliwice,Poland,https://fhprogres.pl
17,A,"Oświetlenie LED Gliwice - Firmy oferujące nowoczesne oświetlenie awaryjne, ewakuacyjne i przeszkodowe w Gliwicach",kontakt@nieruchomosci-online.pl,generic,Gliwice,Poland,https://nieruchomosci-online.pl
18,A,"Oświetlenie LED, żarówki i lampy LED | Spectrum LED | Spectrum ...",info@spectrumled.pl,generic,Katowice,Poland,https://spectrumled.pl
19,A,Opticon - Oświetlenie samochodowe w technologii LED,biuro@sklepledowy.pl,generic,Zabrze,Poland,https://opticonlight.com
20,A,Oświetlenie LED Katowice — montaż na wymiar,info@oswietlenieled.info,generic,Katowice,Poland,https://oswietlenieled.info
21,A,www.sklepledowy.pl - Sklep z oświetleniem LED - Opticon Poland Sp. z o.o,,no_email,Zabrze,Poland,https://sklepledowy.pl
22,A,LED STUDIO Wrocław sklep z oświetleniem Led,,no_email,Wrocław,Poland,https://led-studio.pl
23,A,Oświetlenie ledowe - sklep z oświetleniem LED | wroled.pl,,no_email,Wrocław,Poland,https://wroled.pl
24,A,Oświetlenie LED - Sklep z LEDami Wrocław | Onled.pl,,no_email,Wrocław,Poland,https://onled.pl
25,A,Oświetlenie LED - Sklep z ledami NeoLED,,no_email,Wrocław,Poland,https://neoled.com.pl
26,A,Oświetlenie led Wrocław - Bezpłatna Wycena - Ledinside,,no_email,Wrocław,Poland,https://ledinside.com.pl
27,A,"Oświetlenie LED Wrocław, taśmy, żarówki - sklep Pro-LED",,no_email,Wrocław,Poland,https://pro-led.com.pl
28,A,Oświetlenie LED na wymiar – Sky Tower Wrocław | Realizacja,,no_email,Wrocław,Poland,https://maliki.pl
29,A,Oświetlenie LED Wrocław - Lena Lighting,,no_email,Wrocław,Poland,https://lenalighting.pl
30,A,"LED Studio, Wrocław - Cylex Szukaj Lokalnie Polska",,no_email,Wrocław,Poland,https://cylex-polska.pl
31,A,"Żarówki Led - Żarówki wszystkich rodzajów - Taniej na Allegro.pl, Zabrze",,no_email,Zabrze,Poland,https://allegro.pl
32,A,Oświetlenie LED - sklep internetowy,,no_email,Zabrze,Poland,https://designlight.pl
33,A,"Taśmy LED Zabrze, śląskie. Opticon Sklep Internetowy sklepledowy.pl",,no_email,Zabrze,Poland,https://baza-firm.com.pl
34,A,5 firm w: Zabrze | ledowi.pl,,no_email,Zabrze,Poland,https://ledowi.pl
35,A,"FH Progres Oświetlenie LED, Mikołowska 15, Gliwice 44-100 - Przedsiębiorstwo, Firma, godziny otwarcia, numer telefonu, N",,no_email,Gliwice,Poland,https://mapa.targeo.pl
36,A,Oświetlenie LED,,no_email,Katowice,Poland,https://bns.com.pl
37,A,"Sklep PureLed Katowice - oświetlenie biurowe, taśmy, oprawy ...",,no_email,Katowice,Poland,https://pureled-katowice.pl
38,A,"Oświetlenie Led Lampy Listwy w Katowicach – Gdzie kupić, zamówić?",,no_email,Katowice,Poland,https://ibiznes.katowice.pl
39,A,"Oświetlenie LED, sklep i hurtownia oświetlenia | sklep.BestLighting.pl",,no_email,Katowice,Poland,https://sklep.bestlighting.pl
40,A,ELED - oświetlenie LED na miarę Twoich potrzeb,,no_email,Zabrze,Poland,https://eled.pl
41,A,Panel LED SQUARE 12W 4200K kwadrat czarny - Merkury Market,,no_email,Zabrze,Poland,https://merkurymarket.pl
42,A,Oświetlenie ciągłe Studyjne panele led – BemixMedia.pl,,no_email,Zabrze,Poland,https://bemixmedia.pl
43,A,Kontakt - LEDbaner,,no_email,Zabrze,Poland,https://ledbaner.pl
44,A,Plafond LED 315 - - I-Tel,,no_email,Zabrze,Poland,https://i-tel.pl
45,B,Oświetlenie | Hurtownia Elektryczna Wrocław - ALKAN,sklep@alkan.pl,public_found,Wrocław,Poland,https://alkan.pl
46,B,Hurtownia elektryczna Elektro-sal w Gliwicach - śląskie,handlowy@elektro-sal.pl,public_found,Gliwice,Poland,https://elektro-sal.pl
47,B,Fabryka Światła Wrocław - A-T Krotoszyn,sklep.wroclaw2@at-krotoszyn.pl,public_found,Wrocław,Poland,https://at-krotoszyn.pl
48,B,"ᑕ❶ᑐ Lampy Zabrze, sklep lampy wiszące sufitowe podłogowe ••• Sklep internetowy Light Home",sklep@light-home.pl,public_found,Zabrze,Poland,https://light-home.pl
49,B,Lampy Zabrze Śląskie najniższe ceny oświetlenia - Sklep Lampy oświetlenie lamp,sklep@skleplampy.pl,public_found,Zabrze,Poland,https://skleplampy.pl
50,B,"Sklep oświetleniowy z lampami, żyrandolami - Warszawa - PP Design",biuro@pp-design.pl,generic,Wrocław,Poland,https://pp-design.pl
51,B,"Oświetlenie - sklep, hurtownia Wrocław - Orły Oświetlenia 2026",kontakt@beautifulcompany.pl,generic,Wrocław,Poland,https://orlyoswietlenia.pl
52,B,Hurtownia elektrotechniczna w Zabrzu - Śląskie - Kontaktuj.pl,biuro@kontaktuj.pl,generic,Zabrze,Poland,https://kontaktuj.pl
53,B,Żarówki samochodowe - Autopunkt,hello@torado.com,generic,Gliwice,Poland,https://autopunkt.slask.pl
54,B,Strona główna • For Light,kontakt@forlight.com.pl,generic,Zabrze,Poland,https://forlight.com.pl
55,B,Panele szklane do salonu Zabrze,biuro@mirror.info.pl,generic,Zabrze,Poland,https://mirror.info.pl
56,B,Sklepy - Lutec Polska,kontakt@lutec.pl,generic,Wrocław,Poland,https://lutec.pl
