ranking,tier,score,companyName,companyType,status,emailVerified,email,city,country,website,sourceUrl
1,AAA,91,IT-Systemhaus Stuttgart | OCX GmbH | IT-Service,Integrator,verified,True,anfrage@ocx.de,Stuttgart,Germany,https://ocx.de,https://www.ocx.de/
2,AAA,79,IT Security Schulungen & Kurse in Karlsruhe,Manufacturer,verified,True,karlsruhe@pc-college.de,Karlsruhe,Germany,https://security.pc-college.de,https://security.pc-college.de/standort-karlsruhe.php
3,AAA,79,EnBW Cyber Security GmbH | Unternehmen,Company,verified,True,itsa365@nuernbergmesse.de,Karlsruhe,Germany,https://itsa365.de,https://www.itsa365.de/de-de/aussteller/enbw-cyber-security-gmbh-2420202
4,AAA,79,"HUBER Datenschutz, IT-Sicherheit und Cyber-Security",Company,verified,True,info@huberdatenschutz.de,Karlsruhe,Germany,https://huberdatenschutz.de,https://huberdatenschutz.de/
5,AAA,79,Informationssicherheit & IT-Sicherheit | Cybersecurity Beratung,Manufacturer,verified,True,info@gloeckner-schuhwerk.de,Karlsruhe,Germany,https://gloeckner-schuhwerk.de,https://gloeckner-schuhwerk.de/leistungsportfolio/informationssicherheit/
6,AAA,79,Cybersecurity in Mannheim: microCAT - Ihr Partner für IT-Sicherheit,Company,verified,True,hello@microcat.de,Mannheim,Germany,https://microcat.de,https://microcat.de/standort/cybersecurity-mannheim-schutz-industrie-mittelstand-kritische-infrastruktur/
7,AAA,79,"IT-Sicherheitsberatung, IT & Managed Services Mannheim, Heidelberg ...",Service,verified,True,info@gemakom.de,Mannheim,Germany,https://gemakom.de,https://gemakom.de/
8,A,64,Mit uns. Mit Sicherheit. Mehr Cybersicherheit für Baden-Württemberg.,Manufacturer,verified,True,beratung@cybersicherheit.bwl.de,Stuttgart,Germany,https://cybersicherheit-bw.de,https://www.cybersicherheit-bw.de/
9,A,64,CyberSicherheitsForum 2025 - 27.11.2025 - In den Räumen der IHK Region ...,Company,verified,True,info@cybersicherheitsforum-bw.de,Stuttgart,Germany,https://cybersicherheitsforum-bw.de,https://cybersicherheitsforum-bw.de/
10,A,64,Cybersicherheitsagentur Baden-Württemberg in Stuttgart ⇒ in Das Örtliche,Service,verified,True,info@cybersicherheit.bwl.de,Stuttgart,Germany,https://dasoertliche.de,https://www.dasoertliche.de/Themen/Cybersicherheitsagentur-Baden-W%C3%BCrttemberg-Stuttgart-Bad-Cannstatt-Deckerstr
11,A,64,Cyberwehr,Company,verified,True,presse@cyberwehr-bw.de,Stuttgart,Germany,https://cyberwehr-bw.de,https://cyberwehr-bw.de/
12,A,64,Karlsruher IT-Sicherheitsinitiative (KA-IT-Si),Service,verified,True,info@ka-it-si.de,Karlsruhe,Germany,https://ka-it-si.de,https://www.ka-it-si.de/
13,A,64,CyberForum: Hightech.Unternehmer.Netzwerk.,Manufacturer,verified,True,info@werkraum.net,Karlsruhe,Germany,https://cyberforum.de,https://www.cyberforum.de/
14,A,64,Beratung und Seminare zu IT-Sicherheit und Datenschutz ...,Service,verified,True,info@secorvo.de,Karlsruhe,Germany,https://secorvo.de,https://www.secorvo.de/index.html
15,A,64,IT Security Karlsruhe: Schutz vor Cyberangriffen,Company,verified,True,info@netplans.de,Karlsruhe,Germany,https://netplans.de,https://www.netplans.de/ratgeber/it-sicherheit-in-karlsruhe-so-schuetzen-sie-ihr-unternehmen-vor-cyberangriffen/
16,A,64,Externer Informationssicherheitsbeauftragter Karlsruhe,Company,verified,True,binary-code@sm.webp,Karlsruhe,Germany,https://hub24.de,https://www.hub24.de/informationssicherheit/karlsruhe/
17,A,64,CyberSicherheitsCheck,Manufacturer,verified,True,info@hwk-karlsruhe.de,Karlsruhe,Germany,https://hwk-karlsruhe.de,"https://www.hwk-karlsruhe.de/artikel/cybersicherheitscheck-63,0,1081.html"
18,A,64,ACS - Allianz für Cyber-Sicherheit - ACS - Landratsamt Karlsruhe,Company,verified,True,bsi@bsi.bund.de,Karlsruhe,Germany,https://allianz-fuer-cybersicherheit.de,https://www.allianz-fuer-cybersicherheit.de/SharedDocs/Adressen/Webs/ACS/DE/Teilnehmer_offen/l/landratsamt_karlsruhe.html
19,A,64,🔐 aramido macht IT sicher.,Company,verified,True,armin.harbrecht@aramido.de,Karlsruhe,Germany,https://aramido.de,https://aramido.de/
20,A,64,Tag der IT-Sicherheit - Karlsruhe,Company,verified,True,info@tag-der-it-sicherheit.de,Karlsruhe,Germany,https://tag-der-it-sicherheit.de,https://tag-der-it-sicherheit.de/
21,A,64,Security Summit 2025 in Karlsruhe: IT-Sicherheit im Fokus,Company,verified,True,info@interconnect.de,Karlsruhe,Germany,https://interconnect.de,https://www.interconnect.de/Veranstaltungen/SecuritySummit2025/
22,A,64,Generalstaatsanwaltschaft Karlsruhe - Die besonderen Aufgaben der ...,Company,verified,True,%20poststelle@genstakarlsruhe.justiz.bwl.de,Karlsruhe,Germany,https://generalstaatsanwaltschaft-karlsruhe.justiz-bw.de,"https://generalstaatsanwaltschaft-karlsruhe.justiz-bw.de/pb/,Lde/Startseite/Generalstaatsanwaltschaft/Die+besonderen+Aufgaben+der+Generalstatsanwaltschaft+Karlsruhe"
23,A,64,IT-Experte | IT-Service Karlsruhe – IT-Forensik | IT-Sicherheit,Service,verified,True,kontakt@it-forensik-it-sicherheit.de,Karlsruhe,Germany,https://it-forensik-it-sicherheit.de,https://it-forensik-it-sicherheit.de/it-spezialist-karlsruhe-it-service-karlsruhe
24,A,64,"Wie das Land versucht, Institutionen, Bürger und Wirtschaft vor Cyberkriminellen zu schützen",Company,verified,True,service@bnn.de,Karlsruhe,Germany,https://bnn.de,https://bnn.de/karlsruhe/karlsruhe-stadt/land-baden-wuerttemberg-schutz-vor-cyberkriminalitaet-erhoehung-cybersicherheit
25,A,64,"Beratung Informationssicherheit, Datenschutz & | Dorsch",Service,verified,True,%20info@dorsch-informationssicherheit.de,Karlsruhe,Germany,https://dorsch-informationssicherheit.de,https://dorsch-informationssicherheit.de/
26,A,64,Cybersicherheit für den Mittelstand · CYBERsicher,Company,verified,True,info@transferstelle-cybersicherheit.anti,Karlsruhe,Germany,https://transferstelle-cybersicherheit.de,https://transferstelle-cybersicherheit.de/
27,A,64,Cyber Security B. Sc. - Informatik TH Mannheim,Company,verified,True,info@th-mannheim.de,Mannheim,Germany,https://informatik.hs-mannheim.de,https://www.informatik.hs-mannheim.de/bachelorstudiengaenge/cyber-security-b-sc.html
28,A,64,Cyber Security | Studienübersicht - DHBW,Company,verified,True,info.ma@dhbw.de,Mannheim,Germany,https://mannheim.dhbw.de,https://www.mannheim.dhbw.de/studium/bachelor/technik/informatik/cyber-security/studienuebersicht
29,A,64,Ausbildung & Studium | Stadt Mannheim | sma-ausbildung-front,Manufacturer,verified,True,datenschutz@mannheim.de,Mannheim,Germany,https://gestaltemannheim.de,https://gestaltemannheim.de/berufsbilder-und-studiengaenge/b-sc-informatik-fachrichtung-cyber-security-bachelor-of-science
